station_id,lon,lat,name
5064,6.4443,51.2898,Tönisvorst
5068,13.0000,51.5833,Torgau
5097,12.7675,54.0661,Tribsees
5099,6.6131,49.7326,Trier-Zewen
5100,6.6582,49.7479,Trier-Petrisberg
5109,13.3039,53.5997,Trollenhagen
5111,12.5396,48.0310,Trostberg
5133,8.9132,51.3343,Twistetal-Mühlhausen
5142,14.0697,53.7444,Ueckermünde
5146,10.5289,52.9414,Uelzen
5149,10.1916,49.5742,Gollhofen
5155,9.9524,48.3837,Ulm
5158,11.1759,52.1601,Ummendorf
5229,8.4608,48.0453,Villingen-Schwenningen
5275,8.5373,49.2447,Waghäusel-Kirrlach
5277,9.1275,50.8113,Wahlen
5279,9.5761,51.6184,Wahlsburg-Lippoldsberg
5280,10.2268,53.9223,Wittenborn
5282,13.6744,51.1197,Wahnsdorf
5300,8.3607,50.2596,Waldems-Reinborn
5335,10.5484,50.8963,Waltershausen
5347,9.1118,51.5040,Warburg
5349,12.6654,53.5196,Waren
5371,9.9428,50.4973,Wasserkuppe
5397,12.1845,49.6663,Weiden
5404,11.6946,48.4025,Weihenstephan-Dürnast
5419,11.3080,50.9744,Weimar
5424,11.3544,51.0176,Weimar-Schöndorf
5426,8.1213,49.3758,Weinbiet
5431,11.8000,53.0333,Weisen
5433,6.8120,49.5534,Weiskirchen/Saar
5440,10.9319,49.0114,Weißenburg-Emetzheim
5467,12.0119,47.7035,Wendelstein
5480,7.8880,51.5765,Werl
5490,10.7686,51.8454,Wernigerode
5516,11.0605,54.5284,Fehmarn
5538,11.1576,47.8827,Wielenbach
5541,8.3170,50.1320,Wiesbaden-Auringen
5546,12.4585,52.1207,Wiesenburg
5562,8.6801,48.6516,Neubulach-Oberhaugstett
5629,12.6445,51.8892,Wittenberg
5640,7.6672,53.5504,Wittmundhafen
5643,12.4949,53.1864,Wittstock-Rote
5663,13.6099,53.4618,Woldegk
5664,8.2391,48.2953,Wolfach
5676,10.6898,52.3961,Wolfsburg
5692,8.3659,49.6051,Worms
5705,9.9577,49.7703,Würzburg
5715,9.4311,52.4605,Wunstorf
5717,7.1053,51.2248,Wuppertal-Buchenhofen
5719,7.2000,51.2051,Remscheid
5731,8.3801,47.6783,Wutöschingen-Ofteringen
5732,8.5271,54.6928,Wrixum/Föhr
5745,13.3268,52.9664,Zehdenick
5750,12.1495,51.0314,Zeitz
5779,13.7516,50.7314,Zinnwald-Georgenfeld
5792,10.9847,47.4209,Zugspitze
5797,12.4328,50.6880,Lichtentanne
5800,13.2385,49.0280,Zwiesel
5802,13.2137,49.0007,Zwieselberg
5822,8.6982,52.8629,Bassum
5825,12.7867,52.6198,Berge
5832,11.0455,53.1007,Dannenberg
5839,7.2287,53.3881,Emden
5856,13.3531,48.5451,Fürstenzell
5871,7.2645,49.9462,Hahn
5906,8.5541,49.5090,Mannheim
5930,10.0238,54.6410,Schönhagen
5941,12.4696,47.6752,Reit
6093,10.4704,53.2139,Wendisch
6105,9.8051,54.3194,Ostenfeld
6109,14.3728,53.3837,Grambow-Schwennenz
6129,14.4262,51.0594,Sohland/Spree
6157,8.0810,53.6409,Wangerland-Hooksiel
6158,10.6084,49.2247,Weidenbach-Weiherschneidbach
6159,7.3196,52.9542,Dörpen
6163,10.3519,54.1654,Dörnick
6170,14.7254,52.0192,Coschen
6182,12.1743,48.7757,Mallersdorf-Pfaffenberg
6184,8.1667,53.5333,Wilhelmshaven
6186,7.8647,50.1988,Nastätten
6197,9.2709,51.8664,Lügde-Paenbruch
6199,13.0418,54.2484,Steinhagen-Negast
6217,6.9351,49.2406,Saarbrücken-Burbach
6258,9.4409,47.6845,Friedrichshafen-Unterraderach
6259,9.6032,49.0210,Großerlach-Mannenweiler
6260,9.7039,49.3325,Ingelfingen-Stachenhausen
6262,9.8737,48.7695,Schwäbisch
6263,8.8219,47.7738,Singen
6264,8.6498,51.4143,Brilon-Thülen
6265,12.3867,52.3613,Wusterwitz
6266,10.9625,52.0305,Pabstorf
6272,10.2518,50.8426,Moorgrund
6273,11.8549,52.5072,Demker
6275,9.4627,48.6705,Notzingen
6305,10.4948,51.2065,Mühlhausen/Thüringen-Görmar
6310,13.8239,54.1049,Karlshagen
6312,10.6418,49.5314,Markt
6314,13.3008,51.0507,Nossen
6336,9.6539,50.0133,Lohr/Main-Halsbach
6337,7.5193,51.7663,Lüdinghausen-Brochtrup
6344,8.1423,50.3940,Runkel-Ennerich
6346,11.2035,48.2070,Maisach-Galgen
6347,10.2974,50.0578,Schonungen-Mainberg
7075,11.8494,48.7021,Elsendorf-Horneck
7099,10.3966,52.0111,Liebenburg-Othfresen
7105,12.6549,47.8349,Siegsdorf-Höll
7106,8.4565,52.0714,Bielefeld-Deppendorf
7187,9.4053,49.7636,Freudenberg/Main-Boxtal
7244,13.0319,53.1424,Neuglobsow
7298,9.0425,54.5268,Hattstedt
7319,10.7415,48.7351,Donauwörth-Osterweiler
7321,11.3319,51.1509,Olbersleben
7325,10.9794,47.4167,Schneefernerhaus
7329,12.2852,50.5457,Treuen
7330,7.9780,51.4634,Arnsberg-Neheim
7331,10.2674,48.6099,Hermaringen-Allewind
7341,8.7862,50.0900,Offenbach-Wetterpark
7343,13.4816,50.6199,Deutschneudorf-Brüderwiese
7350,12.8231,49.1088,Prackenbach-Neuhäusl
7351,13.4175,53.3175,Feldberg/Mecklenburg
7364,12.3042,51.6820,Jeßnitz
7367,9.8072,51.9644,Alfeld
7368,10.3621,51.0007,Eisenach
7369,10.3662,49.1623,Feuchtwangen-Heilbronn
7370,12.6838,49.3909,Waldmünchen
7373,6.7024,53.5984,Borkum-Flugplatz
7374,6.9410,52.0814,Ahaus
7389,13.8427,52.7461,Heckelberg
7393,14.2533,51.4493,Hoyerswerda
7394,11.9745,50.0315,Wunsiedel-Schönbrunn
7395,12.5388,48.6596,Gottfrieding
7396,9.2247,50.5084,Hoherodskopf/Vogelsberg
7403,10.0324,47.7955,Leutkirch-Herlazhofen
7410,9.0226,50.7519,Neu-Ulrichstein
7412,9.4239,50.0083,Neuhütten/Spessart
7419,12.0757,50.6610,Langenwetzendorf-Göttendorf
7420,11.7112,51.1044,Naumburg/Saale-Kreipitzsch
7424,12.9073,47.7724,Piding
7427,9.9255,54.0188,Padenstedt
7428,10.8156,50.4166,Veilsdorf
7431,11.5524,48.0130,Oberhaching-Laufzorn
7432,10.6631,52.6425,Wittingen-Vorhop
13667,7.8450,48.0007,Freiburg-Stadt
13670,6.7018,51.5088,Duisburg-Baerl
13674,8.9054,49.2942,Waibstadt
13675,9.4072,52.0817,Hameln-Hastenbeck
13696,7.4048,51.5968,Waltrop-Abdinghof
13700,7.3411,51.3329,Gevelsberg-Oberbröking
13710,12.2574,48.5734,Landshut-Reithof
13711,11.5150,50.6813,Krölpa-Rockendorf
13713,7.6289,51.0899,Meinerzhagen-Redlendorf
13776,9.9524,52.1789,Hildesheim-Drispenstedt
13777,10.9592,52.2467,Helmstedt-Emmerstedt
13903,8.3167,54.0167,Bake
13904,6.3333,55.0000,Nordseeboje
14003,10.6144,47.8619,Kaufbeuren
14138,14.1224,52.1655,Falkenberg
15000,6.0244,50.7982,Aachen-Orsbach
15207,9.3590,51.2835,Schauenburg-Elgershausen
15444,9.9216,48.4418,Ulm-Mähringen
